material_id,formula,space_group,crystal_system,formation_energy_per_atom,band_gap,density,nsites,is_stable,energy_above_hull
mp-775861,Zr2N2O,P1,Triclinic,-2.18848033875,1.6810000000000005,5.754412665915837,40,False,0.13108119675000118
mp-775863,Zr2N2O,Cm,Monoclinic,-2.1224775960000017,1.6522999999999994,5.994046464805055,30,False,0.19708393950000058
mp-775866,Zr2N2O,P1,Triclinic,-2.1923555842499978,1.7744999999999997,5.751372559433112,40,False,0.12720595125000322
mp-775981,VOF3,P-1,Triclinic,-2.6491414134999998,1.8410999999999997,3.032605837432705,20,False,0.06307638200000021
mp-776016,K2O,Pbca,Orthorhombic,-1.2134567327499994,1.3316,2.344254742699141,24,False,0.020421303750000064
mp-776040,VOF,P2/m,Monoclinic,-2.800831276666667,0.8874,4.098239599667126,24,False,0.0513016774999997
mp-776081,K2O,P2_1,Monoclinic,-1.145660673166666,1.7426,2.365977560165792,6,False,0.08821736333333341
mp-776090,VOF,P2_1/c,Monoclinic,-2.8024144366666675,1.4477000000000002,4.10729827284567,24,False,0.04971851749999878
mp-776104,K2O,P4_2/nmc,Tetragonal,-1.1828106460833325,0.8928999999999999,2.1409947642857037,24,False,0.05106739041666719
mp-776201,Zr2N2O,C2/m,Monoclinic,-2.0990443659999998,0.9144999999999999,5.1541062472989045,20,False,0.22051716950000255
mp-776205,Hf2N2O,P2_1/m,Monoclinic,-2.2942619129999997,1.2397999999999998,10.613437018361632,10,False,0.22014329599999982
mp-776212,Hf2N2O,P1,Triclinic,-2.384880379499998,2.0725999999999996,10.601364585827314,40,False,0.1295248295000011
mp-776213,Hf2N2O,P1,Triclinic,-2.3843534872500016,2.0317999999999996,10.603837178978074,40,False,0.13005172174999835
mp-776214,Hf2N2O,P1,Triclinic,-2.3834544002499998,2.0381,10.606533705515583,40,False,0.13095080875000065
mp-776220,Hf2N2O,C2/c,Monoclinic,-2.312294366666667,2.2156000000000002,10.53760454716281,30,False,0.20211084233333132
mp-776225,Hf2N2O,P1,Triclinic,-2.386551365,1.9416000000000002,10.601555537955347,40,False,0.12785384400000055
mp-776226,Hf2N2O,P1,Triclinic,-2.383409771999999,2.0254000000000003,10.610558677515549,40,False,0.13099543700000105
